name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13116352,121246780028289,121246793144641
mov eax ebx                ,31360,121246796377680,121246796409040
nop                        ,31351,121246799509409,121246799540760
rdmsr 0x611                ,56861424,121246802761169,121246859622593
rdmsr 0x639                ,48538538,121246859690425,121246908228963
rdmsr 0x641                ,28146155,121246908259204,121246936405359
rdmsr 0x619                ,24465780,121246936424623,121246960890403
rdmsr 0x19C                ,24781947,121246960907923,121246985689870
rdmsr 0x17                 ,24934732,121246985707696,121247010642428
sys_call_overhead_proc_read,69875093
sys_call_overhead_sys_read ,149142345
