name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,6000397,154374454834860,154374460835257
mov eax ebx                ,26878,154374462510092,154374462536970
nop                        ,26879,154374463965436,154374463992315
rdmsr 0x611                ,25146527,154374465470605,154374490617132
rdmsr 0x639                ,25056084,154374490723126,154374515779210
rdmsr 0x641                ,24328187,154374515827313,154374540155500
rdmsr 0x619                ,23873432,154374540190628,154374564064060
rdmsr 0x19C                ,23859117,154374564102112,154374587961229
rdmsr 0x17                 ,24187890,154374588022896,154374612210786
sys_call_overhead_proc_read,66299745
sys_call_overhead_sys_read ,139823478
