name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13084284,136858695544946,136858708629230
mov eax ebx                ,31343,136858711727727,136858711759070
nop                        ,31348,136858714879539,136858714910887
rdmsr 0x611                ,53839644,136858718053506,136858771893150
rdmsr 0x639                ,54180539,136858771992900,136858826173439
rdmsr 0x641                ,35788840,136858826225155,136858862013995
rdmsr 0x619                ,24288623,136858862052567,136858886341190
rdmsr 0x19C                ,22248725,136858886359776,136858908608501
rdmsr 0x17                 ,22629182,136858908626119,136858931255301
sys_call_overhead_proc_read,63783717
sys_call_overhead_sys_read ,134742800
