name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13043885,152180936044776,152180949088661
mov eax ebx                ,31354,152180952322405,152180952353759
nop                        ,31353,152180955475918,152180955507271
rdmsr 0x611                ,56878196,152180958682533,152181015560729
rdmsr 0x639                ,54519955,152181015694878,152181070214833
rdmsr 0x641                ,31963887,152181070260809,152181102224696
rdmsr 0x619                ,23943456,152181102252024,152181126195480
rdmsr 0x19C                ,23067257,152181126213891,152181149281148
rdmsr 0x17                 ,23354128,152181149298851,152181172652979
sys_call_overhead_proc_read,65865193
sys_call_overhead_sys_read ,137334871
