name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13067668,114318060565584,114318073633252
mov eax ebx                ,43624,114318076981889,114318077025513
nop                        ,31353,114318080205699,114318080237052
rdmsr 0x611                ,56892280,114318083530568,114318140422848
rdmsr 0x639                ,54854567,114318140481490,114318195336057
rdmsr 0x641                ,32243536,114318195378391,114318227621927
rdmsr 0x619                ,24001347,114318227643867,114318251645214
rdmsr 0x19C                ,23393910,114318251663223,114318275057133
rdmsr 0x17                 ,23479100,114318275084875,114318298563975
sys_call_overhead_proc_read,65572586
sys_call_overhead_sys_read ,134063333
