name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13053174,178003513390812,178003526443986
mov eax ebx                ,31346,178003530300723,178003530332069
nop                        ,31344,178003533497967,178003533529311
rdmsr 0x611                ,56665837,178003536779485,178003593445322
rdmsr 0x639                ,52611755,178003593587183,178003646198938
rdmsr 0x641                ,36017667,178003646300124,178003682317791
rdmsr 0x619                ,49203839,178003682417481,178003731621320
rdmsr 0x19C                ,52879184,178003731839683,178003784718867
rdmsr 0x17                 ,54273709,178003784864694,178003839138403
sys_call_overhead_proc_read,93777869
sys_call_overhead_sys_read ,163530188
