name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13084082,65926612620476,65926625704558
mov eax ebx                ,31405,65926629030873,65926629062278
nop                        ,31348,65926632188232,65926632219580
rdmsr 0x611                ,55688337,65926635404338,65926691092675
rdmsr 0x639                ,54287860,65926691187388,65926745475248
rdmsr 0x641                ,32393235,65926745515706,65926777908941
rdmsr 0x619                ,23839247,65926777929795,65926801769042
rdmsr 0x19C                ,22904347,65926801796833,65926824701180
rdmsr 0x17                 ,23183758,65926824718861,65926847902619
sys_call_overhead_proc_read,68838556
sys_call_overhead_sys_read ,136149416
