name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,7026325,48360949666947,48360956693272
mov eax ebx                ,30957,48360958611646,48360958642603
nop                        ,30950,48360960299423,48360960330373
rdmsr 0x611                ,27207169,48360962011330,48360989218499
rdmsr 0x639                ,26207070,48360989298085,48361015505155
rdmsr 0x641                ,22803419,48361015543189,48361038346608
rdmsr 0x619                ,22938866,48361038382374,48361061321240
rdmsr 0x19C                ,22759662,48361061359106,48361084118768
rdmsr 0x17                 ,23184512,48361084158301,48361107342813
sys_call_overhead_proc_read,68276732
sys_call_overhead_sys_read ,137445921
