name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13167927,74788544341985,74788557509912
mov eax ebx                ,31356,74788560854437,74788560885793
nop                        ,31387,74788564047173,74788564078560
rdmsr 0x611                ,54235519,74788567314003,74788621549522
rdmsr 0x639                ,54165462,74788621609143,74788675774605
rdmsr 0x641                ,39497083,74788675850022,74788715347105
rdmsr 0x619                ,25047845,74788715372107,74788740419952
rdmsr 0x19C                ,22316314,74788740439055,74788762755369
rdmsr 0x17                 ,22582013,74788762779519,74788785361532
sys_call_overhead_proc_read,73951900
sys_call_overhead_sys_read ,145916729
