name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13085364,180160047282238,180160060367602
mov eax ebx                ,31353,180160063622712,180160063654065
nop                        ,31347,180160066830010,180160066861357
rdmsr 0x611                ,55704497,180160070158743,180160125863240
rdmsr 0x639                ,51812607,180160125968459,180160177781066
rdmsr 0x641                ,30148777,180160177836003,180160207984780
rdmsr 0x619                ,23382183,180160208008741,180160231390924
rdmsr 0x19C                ,22908259,180160231409078,180160254317337
rdmsr 0x17                 ,23147684,180160254343712,180160277491396
sys_call_overhead_proc_read,64753929
sys_call_overhead_sys_read ,133872458
