name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,5719999,103074951733065,103074957453064
mov eax ebx                ,12234,103074958858440,103074958870674
nop                        ,12233,103074960371180,103074960383413
rdmsr 0x611                ,24737548,103074961698303,103074986435851
rdmsr 0x639                ,29336386,103074986466872,103075015803258
rdmsr 0x641                ,29830404,103075015832498,103075045662902
rdmsr 0x619                ,29807734,103075045710739,103075075518473
rdmsr 0x19C                ,26124117,103075075549181,103075101673298
rdmsr 0x17                 ,22821915,103075101693906,103075124515821
sys_call_overhead_proc_read,74153810
sys_call_overhead_sys_read ,134231807
