name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13308543,22271739365275,22271752673818
mov eax ebx                ,31361,22271756100506,22271756131867
nop                        ,31346,22271759532839,22271759564185
rdmsr 0x611                ,53853410,22271762883883,22271816737293
rdmsr 0x639                ,54294702,22271816854633,22271871149335
rdmsr 0x641                ,43302158,22271871274576,22271914576734
rdmsr 0x619                ,50032750,22271914675545,22271964708295
rdmsr 0x19C                ,51727107,22271964845238,22272016572345
rdmsr 0x17                 ,56050184,22272016772834,22272072823018
sys_call_overhead_proc_read,88729530
sys_call_overhead_sys_read ,162515423
