name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13192868,176520693281740,176520706474608
mov eax ebx                ,31352,176520709749177,176520709780529
nop                        ,31336,176520712910857,176520712942193
rdmsr 0x611                ,56663403,176520716186583,176520772849986
rdmsr 0x639                ,57387937,176520772905779,176520830293716
rdmsr 0x641                ,34670545,176520830342602,176520865013147
rdmsr 0x619                ,29166212,176520865050311,176520894216523
rdmsr 0x19C                ,24936565,176520894244659,176520919181224
rdmsr 0x17                 ,29313714,176520919202946,176520948516660
sys_call_overhead_proc_read,72418995
sys_call_overhead_sys_read ,147150520
