name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13185863,191439880568280,191439893754143
mov eax ebx                ,31353,191439896946827,191439896978180
nop                        ,31348,191439900039344,191439900070692
rdmsr 0x611                ,55675662,191439903179594,191439958855256
rdmsr 0x639                ,54995477,191439958939996,191440013935473
rdmsr 0x641                ,33829456,191440013986074,191440047815530
rdmsr 0x619                ,24236401,191440047837312,191440072073713
rdmsr 0x19C                ,23625830,191440072091380,191440095717210
rdmsr 0x17                 ,23927608,191440095734908,191440119662516
sys_call_overhead_proc_read,67579365
sys_call_overhead_sys_read ,148287740
