name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13497424,88946462479496,88946475976920
mov eax ebx                ,31357,88946479138108,88946479169465
nop                        ,31341,88946482291004,88946482322345
rdmsr 0x611                ,52981115,88946485496917,88946538478032
rdmsr 0x639                ,50076058,88946538606634,88946588682692
rdmsr 0x641                ,29304261,88946588724077,88946618028338
rdmsr 0x619                ,23032050,88946618053724,88946641085774
rdmsr 0x19C                ,22546590,88946641107344,88946663653934
rdmsr 0x17                 ,22875515,88946663675209,88946686550724
sys_call_overhead_proc_read,67106641
sys_call_overhead_sys_read ,136940329
