name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13078174,152622130861451,152622143939625
mov eax ebx                ,31336,152622147225123,152622147256459
nop                        ,31350,152622150456311,152622150487661
rdmsr 0x611                ,53890255,152622153683605,152622207573860
rdmsr 0x639                ,49725892,152622207670374,152622257396266
rdmsr 0x641                ,29171422,152622257448884,152622286620306
rdmsr 0x619                ,22762888,152622286641730,152622309404618
rdmsr 0x19C                ,22247692,152622309422862,152622331670554
rdmsr 0x17                 ,22739292,152622331688065,152622354427357
sys_call_overhead_proc_read,65839845
sys_call_overhead_sys_read ,137728290
