name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13251784,171908155289239,171908168541023
mov eax ebx                ,31350,171908171950140,171908171981490
nop                        ,31335,171908175169904,171908175201239
rdmsr 0x611                ,53868516,171908178422549,171908232291065
rdmsr 0x639                ,54176396,171908232394621,171908286571017
rdmsr 0x641                ,40603411,171908286649610,171908327253021
rdmsr 0x619                ,25251505,171908327277586,171908352529091
rdmsr 0x19C                ,22275962,171908352553484,171908374829446
rdmsr 0x17                 ,22591639,171908374847195,171908397438834
sys_call_overhead_proc_read,66889362
sys_call_overhead_sys_read ,146676849
