name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13052625,171940211348605,171940224401230
mov eax ebx                ,31353,171940227883717,171940227915070
nop                        ,31341,171940231494370,171940231525711
rdmsr 0x611                ,53320552,171940234797364,171940288117916
rdmsr 0x639                ,50732764,171940288258192,171940338990956
rdmsr 0x641                ,30162987,171940339212187,171940369375174
rdmsr 0x619                ,24987994,171940369448887,171940394436881
rdmsr 0x19C                ,26496552,171940394513567,171940421010119
rdmsr 0x17                 ,36628519,171940421098567,171940457727086
sys_call_overhead_proc_read,89377982
sys_call_overhead_sys_read ,154066783
