name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,6202552,162140349393531,162140355596083
mov eax ebx                ,15205,162140357215041,162140357230246
nop                        ,15198,162140358763602,162140358778800
rdmsr 0x611                ,35793111,162140360356593,162140396149704
rdmsr 0x639                ,50049457,162140396218358,162140446267815
rdmsr 0x641                ,48200702,162140446309980,162140494510682
rdmsr 0x619                ,30267131,162140494569874,162140524837005
rdmsr 0x19C                ,24389110,162140524857474,162140549246584
rdmsr 0x17                 ,24486384,162140549264423,162140573750807
sys_call_overhead_proc_read,67073813
sys_call_overhead_sys_read ,151850817
