name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13188721,178253312430137,178253325618858
mov eax ebx                ,31365,178253328861761,178253328893126
nop                        ,41136,178253331992277,178253332033413
rdmsr 0x611                ,53829177,178253335230089,178253389059266
rdmsr 0x639                ,53820162,178253389121577,178253442941739
rdmsr 0x641                ,39617091,178253443159882,178253482776973
rdmsr 0x619                ,25071991,178253482804288,178253507876279
rdmsr 0x19C                ,23273566,178253507905922,178253531179488
rdmsr 0x17                 ,23616915,178253531199499,178253554816414
sys_call_overhead_proc_read,66355758
sys_call_overhead_sys_read ,137380106
