name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13098075,150503430965465,150503444063540
mov eax ebx                ,31350,150503447293759,150503447325109
nop                        ,31353,150503450399196,150503450430549
rdmsr 0x611                ,55964702,150503453610166,150503509574868
rdmsr 0x639                ,46454901,150503509675573,150503556130474
rdmsr 0x641                ,27381408,150503556166801,150503583548209
rdmsr 0x619                ,24001514,150503583567721,150503607569235
rdmsr 0x19C                ,24233750,150503607588103,150503631821853
rdmsr 0x17                 ,24454115,150503631839542,150503656293657
sys_call_overhead_proc_read,67595410
sys_call_overhead_sys_read ,137506956
