name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13141002,62190076610139,62190089751141
mov eax ebx                ,31337,62190092953460,62190092984797
nop                        ,31350,62190096094740,62190096126090
rdmsr 0x611                ,53155731,62190099380749,62190152536480
rdmsr 0x639                ,53126527,62190152624654,62190205751181
rdmsr 0x641                ,34346451,62190205813309,62190240159760
rdmsr 0x619                ,23951184,62190240188309,62190264139493
rdmsr 0x19C                ,22737644,62190264167545,62190286905189
rdmsr 0x17                 ,22972509,62190286925599,62190309898108
sys_call_overhead_proc_read,65505715
sys_call_overhead_sys_read ,138275339
