name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,12622072,70054077576395,70054090198467
mov eax ebx                ,31369,70054093384344,70054093415713
nop                        ,31338,70054096533673,70054096565011
rdmsr 0x611                ,53215111,70054099728635,70054152943746
rdmsr 0x639                ,51526518,70054153062225,70054204588743
rdmsr 0x641                ,31539229,70054204650326,70054236189555
rdmsr 0x619                ,23013049,70054236211221,70054259224270
rdmsr 0x19C                ,21869509,70054259242527,70054281112036
rdmsr 0x17                 ,22260185,70054281129384,70054303389569
sys_call_overhead_proc_read,66583229
sys_call_overhead_sys_read ,135343094
