name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13060847,150063018296647,150063031357494
mov eax ebx                ,31352,150063034769638,150063034800990
nop                        ,38809,150063038043767,150063038082576
rdmsr 0x611                ,56760456,150063041367094,150063098127550
rdmsr 0x639                ,53350558,150063098231276,150063151581834
rdmsr 0x641                ,30891870,150063151618127,150063182509997
rdmsr 0x619                ,25017492,150063182530203,150063207547695
rdmsr 0x19C                ,25519486,150063207565433,150063233084919
rdmsr 0x17                 ,26197820,150063233104596,150063259302416
sys_call_overhead_proc_read,69360715
sys_call_overhead_sys_read ,145426862
