name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13056449,146952584540469,146952597596918
mov eax ebx                ,31364,146952601127760,146952601159124
nop                        ,31337,146952604595854,146952604627191
rdmsr 0x611                ,56050510,146952608324690,146952664375200
rdmsr 0x639                ,54309527,146952664483940,146952718793467
rdmsr 0x641                ,32719216,146952718876664,146952751595880
rdmsr 0x619                ,26077442,146952751671370,146952777748812
rdmsr 0x19C                ,25258302,146952777867377,146952803125679
rdmsr 0x17                 ,34054443,146952803206607,146952837261050
sys_call_overhead_proc_read,87045374
sys_call_overhead_sys_read ,153716106
