name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13198110,37108638507189,37108651705299
mov eax ebx                ,31355,37108654923544,37108654954899
nop                        ,31352,37108658055242,37108658086594
rdmsr 0x611                ,53936626,37108661278365,37108715214991
rdmsr 0x639                ,52924381,37108715350236,37108768274617
rdmsr 0x641                ,56585046,37108768422726,37108825007772
rdmsr 0x619                ,56537744,37108825059059,37108881596803
rdmsr 0x19C                ,41421939,37108881645967,37108923067906
rdmsr 0x17                 ,26264844,37108923115462,37108949380306
sys_call_overhead_proc_read,66399020
sys_call_overhead_sys_read ,135604193
