name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,5800652,114426218809312,114426224609964
mov eax ebx                ,41666,114426226039835,114426226081501
nop                        ,12236,114426227467872,114426227480108
rdmsr 0x611                ,25508911,114426228787138,114426254296049
rdmsr 0x639                ,29823508,114426254345576,114426284169084
rdmsr 0x641                ,30143434,114426284196870,114426314340304
rdmsr 0x619                ,30180437,114426314366428,114426344546865
rdmsr 0x19C                ,25806704,114426344590036,114426370396740
rdmsr 0x17                 ,24812829,114426370415733,114426395228562
sys_call_overhead_proc_read,69668163
sys_call_overhead_sys_read ,146563824
