Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
182	11.44	1600	3078	0.84	41	0	0	0	2	1	34	0	11	0	0	0.00	0.00	0.53	0.47	69.66	0.00	17.75	0.00	0.00	15.77	0.00	70.77	2.03	49	0	50	92.25	80.73	0.00	0.00	1.14	13.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.80	2.30	0.00	0.91	0.00	0.00
187	11.68	1600	3101	0.81	41	0	0	1	0	1	34	0	12	0	0	0.00	0.00	0.00	0.31	68.22	0.00	20.31	0.00	0.00	15.56	0.00	68.48	4.28	50	0	50	90.51	79.64	0.00	0.00	2.16	14.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.15	2.48	0.00	1.11	0.00	0.00
183	11.44	1600	3093	0.83	49	0	0	0	1	2	34	0	12	0	0	0.00	0.00	0.13	1.09	65.57	0.00	22.06	0.00	0.00	15.63	1.71	71.22	0.00	49	0	50	92.08	80.56	0.00	0.00	2.27	14.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.72	2.17	0.00	0.92	0.00	0.00
188	11.71	1599	3101	0.82	42	0	0	0	1	5	40	0	7	0	0	0.00	0.00	0.15	0.82	76.13	0.00	11.71	0.00	0.00	15.80	0.00	69.08	3.41	49	0	50	91.56	81.56	0.00	0.00	1.21	12.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.08	2.41	0.00	0.94	0.00	0.00
183	11.47	1601	3082	0.83	49	0	0	0	1	1	37	0	10	0	0	0.00	0.00	0.16	0.51	69.21	0.00	18.61	0.00	0.00	16.24	0.87	65.26	6.17	49	0	50	90.10	79.98	0.00	0.00	2.24	14.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.13	2.54	0.00	1.10	0.00	0.00
186	11.58	1600	3112	0.82	40	0	0	0	2	3	36	0	9	0	0	0.00	0.00	0.40	0.77	72.26	0.00	15.81	0.00	0.00	15.60	0.00	67.01	5.81	49	0	50	93.59	80.91	0.00	0.00	1.40	15.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.03	2.40	0.00	0.94	0.00	0.00
185	11.53	1600	3102	0.83	50	0	0	0	1	1	37	0	10	0	0	0.00	0.00	0.05	0.60	71.51	0.00	16.84	0.00	0.00	15.90	1.05	70.72	0.80	49	0	50	90.08	79.93	0.00	0.00	3.50	12.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.01	2.47	0.00	1.09	0.00	0.00
182	11.45	1600	3079	0.83	40	0	0	1	1	1	36	0	9	0	0	0.00	0.02	0.26	0.31	71.31	0.00	16.52	0.00	0.00	15.45	0.00	73.10	0.00	49	0	50	92.39	80.63	0.00	0.00	1.26	14.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.79	2.21	0.00	0.92	0.00	0.00
188	11.70	1600	3107	0.82	49	0	1	0	0	1	34	0	12	0	0	0.05	0.00	0.00	0.31	67.51	0.00	21.14	0.00	0.00	15.78	0.00	67.66	4.86	50	0	50	91.01	80.30	0.00	0.00	2.09	13.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.95	2.32	0.00	1.11	0.00	0.00
183	11.44	1600	3090	0.83	41	0	0	0	1	2	28	0	17	0	0	0.00	0.00	0.26	1.18	57.15	0.00	30.16	0.00	0.00	15.82	0.95	61.95	9.84	49	0	50	92.11	80.74	0.00	0.00	2.09	14.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.92	2.34	0.00	0.91	0.00	0.00
187	11.78	1600	3076	0.81	41	0	0	0	2	1	34	0	11	0	0	0.00	0.00	0.42	0.49	67.60	0.00	19.53	0.00	0.00	15.42	0.00	65.75	7.05	49	0	50	90.31	80.09	0.00	0.00	2.12	14.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.78	2.18	0.00	1.10	0.00	0.00
190	11.79	1600	3114	0.81	51	0	0	0	1	2	35	0	12	0	0	0.00	0.00	0.26	1.11	66.24	0.00	21.48	0.00	0.00	16.45	0.83	64.86	6.06	49	0	50	92.33	80.16	0.00	0.00	2.19	14.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.92	2.28	0.00	0.95	0.00	0.00
192	11.98	1600	3097	0.82	41	0	0	1	3	3	41	0	7	0	0	0.00	0.00	0.42	0.64	74.73	0.00	12.66	0.00	0.00	16.53	0.00	67.74	3.75	49	0	50	93.56	80.62	0.00	0.00	1.17	13.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.73	2.24	0.00	0.92	0.00	0.00
188	11.63	1600	3121	0.83	51	0	0	0	1	1	37	0	9	0	0	0.00	0.00	0.22	0.58	69.93	0.00	18.72	0.00	0.00	16.20	1.01	66.90	4.26	49	0	50	93.66	80.00	0.00	0.00	2.15	14.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.03	2.28	0.00	1.14	0.00	0.00
186	11.70	1599	3085	0.83	40	0	1	0	2	4	39	0	8	0	0	0.06	0.00	0.20	0.77	73.81	0.00	13.60	0.00	0.00	15.58	0.00	70.20	2.53	49	0	50	94.16	81.08	0.00	0.00	1.35	15.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.04	2.48	0.00	0.92	0.00	0.00
181	11.31	1601	3091	0.83	43	0	0	0	1	1	34	0	11	0	0	0.00	0.00	0.11	0.63	68.03	0.00	20.14	0.00	0.00	15.64	1.11	71.58	0.36	49	0	50	89.13	79.34	0.00	0.00	2.30	14.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.95	2.24	0.00	1.12	0.00	0.00
183	11.44	1600	3091	0.83	47	0	1	0	2	4	39	0	7	0	0	0.07	0.00	0.44	1.51	75.88	0.00	10.95	0.00	0.00	15.84	1.29	68.94	2.48	49	0	50	91.93	81.07	0.00	0.00	1.07	13.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.70	2.18	0.00	0.91	0.00	0.00
185	11.59	1600	3094	0.82	41	0	0	0	1	2	35	0	9	0	0	0.00	0.00	0.11	0.96	75.11	0.00	12.53	0.00	0.00	15.45	0.91	72.01	0.04	49	0	50	89.71	79.26	0.00	0.00	2.23	14.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.20	2.54	0.00	1.12	0.00	0.00
