Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
185	11.61	1599	3090	0.84	40	0	0	1	2	3	38	0	8	0	0	0.00	0.02	0.35	0.70	72.27	0.00	15.27	0.00	0.00	15.46	0.00	69.74	3.20	50	0	50	92.97	81.08	0.00	0.00	1.39	15.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.94	2.43	0.00	0.91	0.00	0.00
185	11.53	1601	3097	0.82	49	0	0	0	1	1	36	0	9	0	0	0.00	0.00	0.11	0.61	74.81	0.00	13.30	0.00	0.00	15.81	1.07	70.84	0.75	50	0	50	90.09	79.62	0.00	0.00	2.12	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.95	2.26	0.00	1.12	0.00	0.00
181	11.35	1601	3088	0.84	41	0	0	0	2	4	34	0	12	0	0	0.00	0.00	0.42	1.49	64.88	0.00	22.01	0.00	0.00	15.65	1.27	64.33	7.39	50	0	51	91.49	81.20	0.00	0.00	1.06	13.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.06	2.47	0.00	0.92	0.00	0.00
185	11.54	1599	3103	0.82	41	0	0	0	1	2	34	0	10	0	0	0.00	0.00	0.06	0.97	70.57	0.00	17.44	0.00	0.00	15.40	0.94	64.15	7.98	50	0	51	89.90	79.64	0.00	0.00	3.08	13.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	2.13	0.00	0.93	0.00	0.00
196	12.32	1600	3085	0.80	49	0	0	0	1	1	44	0	10	0	0	0.00	0.00	0.27	0.64	66.43	0.00	20.44	0.00	0.00	18.20	1.12	68.36	0.00	50	0	51	98.62	80.63	0.00	0.00	2.08	14.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.18	2.63	0.00	1.12	0.00	0.00
186	11.58	1599	3113	0.83	41	0	0	0	3	1	34	0	9	0	0	0.00	0.00	0.51	0.45	71.65	0.00	16.65	0.00	0.00	15.65	0.00	69.89	2.88	51	0	50	93.79	80.51	0.00	0.00	1.11	15.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.96	2.24	0.00	0.94	0.00	0.00
188	11.70	1601	3100	0.83	49	0	0	0	0	1	41	0	6	0	0	0.00	0.00	0.00	0.46	77.00	0.00	11.30	0.00	0.00	16.03	0.77	71.50	0.00	50	0	51	90.79	79.84	0.00	0.00	2.34	14.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.90	2.23	0.00	1.11	0.00	0.00
182	11.44	1600	3087	0.83	41	0	0	0	2	1	32	0	12	0	0	0.00	0.00	0.57	0.57	63.85	0.00	23.65	0.00	0.00	15.59	0.00	71.63	1.34	50	0	50	92.47	80.83	0.00	0.00	1.06	14.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.87	2.22	0.00	0.93	0.00	0.00
185	11.52	1599	3105	0.83	43	0	0	1	0	1	35	0	11	0	0	0.00	0.02	0.00	0.35	70.58	0.00	18.16	0.00	0.00	15.64	0.00	68.57	4.28	50	0	50	89.95	79.91	0.00	0.00	2.19	14.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.90	2.31	0.00	0.93	0.00	0.00
189	11.87	1601	3075	0.81	49	0	0	1	0	2	40	0	9	0	0	0.00	0.04	0.00	0.87	71.87	0.00	15.17	0.00	0.00	16.50	0.77	66.62	4.23	50	0	50	93.21	81.10	0.00	0.00	3.36	11.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.20	2.53	0.00	1.13	0.00	0.00
189	11.76	1599	3107	0.83	42	0	0	0	2	4	39	0	8	0	0	0.00	0.00	0.07	0.72	75.25	0.00	12.91	0.00	0.00	15.59	0.00	65.53	7.12	50	0	50	93.87	81.30	0.00	0.00	1.08	12.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	2.23	0.00	0.93	0.00	0.00
191	11.87	1600	3106	0.83	50	0	0	0	2	3	36	0	11	0	0	0.00	0.00	0.26	0.88	64.14	0.00	23.52	0.00	0.00	16.93	0.95	65.93	4.32	50	0	50	92.48	81.08	0.00	0.00	2.61	11.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.18	2.35	0.00	1.13	0.00	0.00
187	11.71	1600	3088	0.83	40	0	0	1	2	2	34	0	11	0	0	0.00	0.04	0.42	0.60	67.78	0.00	19.57	0.00	0.00	15.24	0.00	62.96	10.09	50	0	50	92.26	80.37	0.00	0.00	1.13	15.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	2.27	0.00	0.91	0.00	0.00
186	11.60	1600	3102	0.82	49	0	0	1	0	1	37	0	8	0	0	0.00	0.04	0.00	0.61	74.93	0.00	13.37	0.00	0.00	15.91	1.06	71.02	0.42	50	0	50	90.52	80.14	0.00	0.00	2.88	13.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.23	2.51	0.00	1.13	0.00	0.00
182	11.41	1601	3086	0.84	41	0	0	0	2	5	41	0	6	0	0	0.00	0.00	0.33	1.55	76.37	0.00	10.41	0.00	0.00	15.76	1.28	69.05	2.50	50	0	50	92.65	81.19	0.00	0.00	1.03	13.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.80	2.25	0.00	0.91	0.00	0.00
186	11.58	1600	3102	0.82	41	0	0	0	1	2	34	0	9	0	0	0.00	0.00	0.11	0.94	72.82	0.00	15.09	0.00	0.00	15.17	0.82	68.94	3.48	50	0	51	90.32	79.73	0.00	0.00	2.20	14.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.84	2.19	0.00	0.94	0.00	0.00
185	11.56	1600	3095	0.83	50	0	0	0	1	1	35	0	11	0	0	0.00	0.00	0.15	0.50	66.13	0.00	22.00	0.00	0.00	16.21	0.83	68.11	3.29	50	0	50	89.93	79.88	0.00	0.00	2.58	13.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.03	2.34	0.00	1.11	0.00	0.00
184	11.52	1600	3091	0.83	40	0	0	0	1	4	38	0	10	0	0	0.00	0.00	0.04	0.63	67.80	0.00	20.26	0.00	0.00	15.43	0.00	65.54	7.50	50	0	50	92.78	80.41	0.00	0.00	1.08	15.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.78	2.11	0.00	0.94	0.00	0.00
184	11.49	1600	3105	0.83	49	0	0	0	1	1	37	0	9	0	0	0.00	0.00	0.11	0.64	74.46	0.00	13.95	0.00	0.00	15.87	1.10	70.83	0.71	50	0	50	89.80	79.78	0.00	0.00	2.17	14.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.08	2.44	0.00	1.10	0.00	0.00
183	11.50	1600	3084	0.83	41	0	0	0	1	2	39	0	6	0	0	0.00	0.00	0.15	0.98	76.27	0.00	11.10	0.00	0.00	15.62	0.83	72.05	0.00	50	0	50	92.74	80.17	0.00	0.00	2.18	14.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.72	2.11	0.00	0.93	0.00	0.00
186	11.56	1599	3111	0.83	41	0	0	0	1	1	33	0	13	0	0	0.00	0.00	0.15	0.46	68.33	0.00	20.31	0.00	0.00	15.54	0.00	65.60	7.30	50	0	50	90.47	80.43	0.00	0.00	2.11	14.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.92	2.43	0.00	0.92	0.00	0.00
183	11.48	1602	3074	0.82	49	0	0	0	1	1	34	0	11	0	0	0.00	0.00	0.22	0.61	65.75	0.00	21.65	0.00	0.00	16.00	1.08	69.88	1.56	50	0	50	89.26	79.02	0.00	0.00	3.20	13.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.06	2.30	0.00	1.12	0.00	0.00
